Item,Amount,DOM,Source,Notes,
Rental Space, $	(139.00),1,CapOne,,
Rent ," $	(1,394.00)",1,USB, ,
Payroll," $	2,700.00 ",1,USB,Payroll DD,
Utilities, $	(55.71),1,USB,UMS Billing,
Amazon, $	(10.73),1,CapOne,Prime Video,
AK Strength, $	(162.79),2,Amex,Anthony Training,
Geico, $	(49.57),3,CapOne,,
HBC, $	(99.61),5,USB,Auto Pay,
Amex Pmt," $	(1,126.26)",6,USB,Represents Monthly COL,
Microsoft, $	(10.62),13,CapOne,AutoPay--XBox Game Pass via PayPay should end in May,
Payroll," $	2,700.00 ",14,USB,Payroll DD,
Adobe CC, $	(52.99),14,Amex,,
Microsoft, $	(25.25),14,CapOne,Online Services -- Office,
AppleOne, $	(26.37),15,USB,Via PayPal new,
Verizon Wireless, $	(196.93),17,CapOne,Recurring,
Apple Card Pmt, $	(75.48),21,Apple Card,Average from periodic,
XCel (Electric), $	(33.37),24,USB,Auto Pay,
Ethos, $	(130.00),27,CapOne,s/b amex at end of may,
Microsoft, $	(2.01),29,CapOne,via PayPal new,
